ZCTA,DATE,AVG,DP
90011,2013-12-25,18.49941444396975,-2.5001977233832577
90011,2013-12-26,18.30679941177368,-2.2650242160612057
90011,2013-12-27,18.972609043121334,-3.07507571619666
90011,2013-12-28,16.7780442237854,1.982706897195602
90011,2013-12-29,15.603326320648215,-3.3268710688463394
90011,2013-12-30,15.72541928291319,-2.302991761732639
90011,2013-12-31,14.236266613006595,-1.8685979291958241
90011,2014-01-01,14.396887779235861,7.361227721948324
90011,2014-01-02,18.65625429153445,10.650152579850594
90011,2014-01-03,15.137166976928704,9.075319038384782
90011,2014-01-04,14.828385353088386,9.459965794043006
90011,2014-01-05,16.68437099456785,8.292095001797193
90011,2014-01-06,17.65540599822996,9.864471622956192
90011,2014-01-07,15.28671550750734,9.300246907195731
90011,2014-01-08,14.28431367874148,8.659614579582131
90011,2014-01-09,13.48842573165894,9.522348415302542
90011,2014-01-10,14.75045680999755,8.347542427312602
90011,2014-01-11,15.562039375305197,9.080980578376565
90011,2014-01-12,15.422955989837636,9.561163000091506
90011,2014-01-13,18.416440963745103,9.049774402082427
90011,2014-01-14,19.23887538909915,10.450177166901515
90011,2014-01-15,20.4376063346863,11.463674632916762
90011,2014-01-16,20.6720418930054,11.697141683485045
90011,2014-01-17,21.27591943740845,12.07761494551346
90011,2014-01-18,20.0060148239136,11.131494915843938
90011,2014-01-19,18.2146306037903,10.023475742032804
90011,2014-01-20,18.082640647888162,9.214771740960993
90011,2014-01-21,18.71856355667115,11.74030596994971
90011,2014-01-22,18.3907437324524,11.94001856371253
90011,2014-01-23,15.86187601089479,9.950278627618987
90011,2014-01-24,17.54111909866335,12.43523271364439
90011,2014-01-25,19.1232089996338,13.748714832814906
90011,2014-01-26,15.921503067016602,10.966982978685525
90011,2014-01-27,15.7066879272461,10.958558966458432
90011,2014-01-28,15.149676322936994,9.600391791508791
90011,2014-01-29,15.8319025039673,10.765697502718208
90011,2014-01-30,15.5248637199402,13.338930492727222
90011,2014-01-31,14.941706180572499,12.045040077279353
90011,2014-02-01,14.171147823333719,9.010182991248223
90011,2014-02-02,12.345179319381705,7.349640614386518
90011,2014-02-03,12.166080236434915,7.668335608261325
90011,2014-02-04,12.795094013214115,8.249879936781928
90011,2014-02-05,13.292022228240976,8.906190196333856
90011,2014-02-06,13.3322310447693,10.687195743672486
90011,2014-02-07,13.432774066925054,9.908492475474903
90011,2014-02-08,14.5589003562927,10.794032346290226
